"Name","Observer","Set","LM1_x","LM1_y","LM1_z","LM2_x","LM2_y","LM2_z","LM3_x","LM3_y","LM3_z"
"Model 8","1","Set D",-14.4424762363019,5.32766762004476,-129.472627985174,-9.40353326210024,-17.0588555340299,-128.832287605169,-8.74118928685137,4.02781248115952,-134.011605824708
"Model 8","1","Set E",-14.5322926721444,5.43140665480541,-129.403538840959,-9.59174609589668,-17.2991681599155,-128.782194617387,-8.90806306834319,4.3410886954267,-134.830049380469
"Model 8","1","Set average",-14.3337135970696,5.25929834544129,-129.283129042889,-9.38394525182734,-16.8778703330978,-128.708760983343,-8.8772023229308,4.22134769292609,-134.495582817961
"Model 8","2","Set A",-14.406147507928,5.36449752103416,-129.281423617477,-7.31927864733231,-15.0665691001368,-128.098505528554,-9.27488365661477,4.72775463182931,-135.601130125102
"Model 9","1","Set A",-16.020984603813,7.26182771883878,-132.842745252673,-11.8398738128612,-11.4477485040709,-130.235143289211,-13.9279348737977,6.80942976373977,-136.470878510958
"Model 9","1","Set B",-16.4730521222304,7.79560733264833,-132.995108442727,-12.8767073943694,-10.993743320044,-129.903382718804,-11.6550096463497,5.45051363829197,-135.819017566297
"Model 9","1","Set C",-16.1154338834884,7.37426532689081,-132.910315337101,-9.74802403036595,-12.7383135297546,-132.161658086891,-13.4386549999319,6.33715074041771,-135.656937572819
"Model 9","1","Set D",-16.2611437991716,7.52894727260443,-132.997862192449,-13.1447130003789,-10.7405819864247,-129.737550720362,-11.1449224987466,5.31717719696727,-136.365544186633
"Model 9","1","Set E",-16.4650856660624,7.76790640852289,-132.830444324927,-13.4167343032724,-10.4403850259374,-129.55055398037,-13.2621591900242,6.49035811836227,-136.004052007487
"Model 9","1","Set average",-16.2671400149532,7.54571081190105,-132.915295109975,-12.2052105082496,-11.2721544732463,-130.317657759128,-12.68573624177,6.0809258915558,-136.063285968839
"Model 9","2","Set A",-15.5932423019895,6.99321614013683,-132.169783126477,-12.0216581680029,-13.3103377087599,-131.842696345173,-10.7129566128439,6.47627160488106,-139.109900471849
"Model 10","1","Set A",-14.6607446820363,5.2350489886658,-134.793807579823,-12.3555167657798,-15.3072836580635,-135.200012730844,-10.2050959699763,6.01521315136335,-140.607203415925
"Model 10","1","Set B",-14.4832032881271,5.0440018940572,-134.578690773919,-12.9096948436252,-16.884932670172,-135.835824742298,-10.3121839931389,6.06612764215173,-140.644218790538
"Model 10","1","Set C",-14.3465467322771,4.89154974767698,-134.696177691668,-12.4347263360334,-16.2235539344531,-135.395318891506,-10.2157100003828,5.91693101794316,-140.481125327193
"Model 10","1","Set D",-14.6456382104273,5.18770900538491,-134.89953597338,-12.7314283995323,-16.1818421513619,-135.387189815342,-10.4459141441818,6.11871948948991,-140.710610060801
"Model 10","1","Set E",-14.6976709929282,5.24412739630675,-135.141779930646,-12.9533789104031,-17.0647137476102,-135.959191530711,-10.2594002524049,6.1415049854483,-140.773107976728
"Model 10","1","Set average",-14.5667607811592,5.12048740641833,-134.821998389887,-12.6769490510748,-16.3324652323322,-135.55550754214,-10.2876608720169,6.05169925727929,-140.643253114237
"Model 10","2","Set A",-14.6066260376812,5.2036647924691,-134.327044956912,-11.6438815382445,-16.2056719645946,-135.50290789563,-9.76017122789803,6.37506069501805,-141.467116805774
"Model 11","1","Set A",-16.7198879774497,6.9985075788062,-129.823736305795,-12.8341786743776,-10.9000722728256,-128.036093026801,-11.6817140932459,6.25254174524709,-132.931969392101
"Model 11","1","Set B",-16.9607779895816,7.22190193309701,-130.116725372321,-12.9932369727715,-10.7663699215697,-127.963652160737,-11.1183759824796,5.83376828217933,-133.209898632261
"Model 11","1","Set C",-16.340099978417,6.28723813707816,-128.967134627933,-13.116330294177,-11.4841096069923,-128.476753121971,-11.2359990837793,5.79520173685207,-132.935371689234
"Model 11","1","Set D",-16.7236642820082,6.99316681603529,-130.043406228812,-13.3327193915257,-11.028765807827,-128.103648922652,-11.6259580048245,6.16357625310808,-132.9352180507
"Model 11","1","Set E",-17.0042387317847,7.32790944125398,-129.623472700827,-12.8277655586988,-10.8505894438633,-128.008157531553,-11.4892221557502,6.0675754729885,-132.957465744326
"Model 11","1","Set average",-16.7497337918482,6.96574478125413,-129.714895047137,-13.0208461783101,-11.0059814106156,-128.117660952743,-11.4302538640159,6.02253269807502,-132.993984701725
"Model 11","2","Set A",-16.7596762081515,7.05159453058114,-129.566283529543,-13.0112700032776,-10.7843621193692,-127.972833392615,-10.8305622180867,6.87712729455144,-136.598349953154
"Model 12","1","Set A",-10.0100098839469,3.52960566178721,-144.816118667109,-8.82456873823319,-15.879695533782,-144.907095122453,-4.10209513240118,2.10736275053851,-150.284787778285
"Model 12","1","Set B",-10.2467916430627,3.77448817184309,-145.16902367426,-8.41754901178992,-16.3330914447955,-144.962642158506,-3.95135621547107,1.91560424245692,-149.941656135715
"Model 12","1","Set C",-9.78958680790669,3.19038601789411,-144.564878058734,-8.83413734619843,-16.227582852155,-145.046973841064,-4.34881839643483,2.39160731308669,-150.697526326239
"Model 12","1","Set D",-9.99881480211483,3.75675912214253,-143.972371458555,-9.34082696100863,-16.7640196211685,-145.215241509042,-4.42423032153559,2.40931622442037,-150.519844747153
"Model 12","1","Set E",-10.2669431106241,3.87550113711474,-144.651047365033,-7.78021048330296,-15.8574229427242,-144.628208116124,-4.42086893158849,2.30662333817615,-150.164309232764
"Model 12","1","Set average",-10.062429249531,3.62534802215633,-144.634687844738,-8.63945850810663,-16.212362478925,-144.952032149438,-4.24947379948623,2.22610277373573,-150.321624844031
"Model 12","2","Set A",-9.26638313073878,2.62098779718374,-144.768598081387,-8.41673464416951,-16.3994027582641,-144.959680799492,-3.83231366069855,2.17599319379477,-151.170083640521
"Model 13","1","Set A",-18.5969148157925,-3.54683297940413,-163.736396369561,-11.4174216481935,-21.0918455590669,-161.653160141742,-12.1993603046118,-2.8887612346552,-169.197028989428
"Model 13","1","Set B",-18.2267348244835,-2.10161322801871,-163.94276563549,-10.310114319929,-20.2077832611154,-162.210738705003,-12.8798129385543,-2.28930464926781,-169.556714849686
"Model 13","1","Set C",-17.8135164134643,-2.69096563117432,-163.870400866059,-10.5095435098834,-19.627866239465,-161.679874876969,-13.7088757994494,-2.38899180025702,-169.052161261614
"Model 13","1","Set D",-18.2906097908918,-2.04512671213401,-164.423943790148,-10.4489184118395,-19.69504345146,-161.774693750194,-13.1702906232501,-2.77854741632693,-168.617018452908
"Model 13","1","Set E",-18.0252654496652,-2.36241450556124,-163.7265226837,-10.5534352206035,-19.855565387146,-161.777422057334,-12.8312807569056,-2.28134582681209,-169.567205887208
"Model 13","1","Set average",-18.1906082588595,-2.54939061125848,-163.940005868992,-10.6478866220898,-20.0956207796507,-161.819177906248,-12.9579240845542,-2.52539018546381,-169.198025888169
"Model 13","2","Set A",-18.253363501871,-1.95824784045437,-163.323204122592,-11.5027427817879,-21.1058771443136,-161.860571829992,-13.5378402864495,-1.59226047787775,-170.847143450416
"Model 14","1","Set A",-17.7716904261277,5.54684366455951,-120.770907421753,-9.08955187040347,-11.5079367882452,-121.259333546114,-9.78540480177967,5.33224535281103,-128.018978246621
"Model 14","1","Set B",-17.0202512474639,5.26106070879444,-120.533506728463,-9.3249753068093,-12.8130894118586,-121.653195697625,-10.0141578710942,5.36849890904392,-127.715938763503
"Model 14","1","Set C",-16.7116116888938,5.03513763468706,-120.657186403793,-9.19606705645901,-12.6408748175559,-121.623469959555,-10.5214147454088,5.48268696755329,-127.601189611536
"Model 14","1","Set D",-16.7757853035403,5.49499533227054,-119.538219462481,-9.28747043596994,-12.7813479247714,-121.669907184449,-10.0799485318875,5.39209635096428,-127.797502585533
"Model 14","1","Set E",-16.8035235253799,5.22217331617823,-120.00674174378,-9.2650926975771,-12.8403769156284,-121.691821446392,-9.8005912302658,5.32524377755848,-127.920616740354
"Model 14","1","Set average",-17.0165724382811,5.31204213129795,-120.301312352054,-9.23263147344377,-12.5167251716119,-121.579545566827,-10.0403034360872,5.3801542715862,-127.810845189509
"Model 14","2","Set A",-17.0939244574563,5.37271095482151,-120.275521200013,-8.7472422450275,-12.0021718833885,-121.485269433125,-11.3674858299511,5.7796940819319,-128.137669986406
"Model 15","1","Set A",-10.5773883242223,10.033718578512,-146.848629682903,-10.225420856519,-7.9764370281633,-147.774935304883,-4.04197670135404,9.483270497686,-155.023048182562
"Model 15","1","Set B",-10.9405708826191,10.352048410278,-147.427035642023,-10.7576853274298,-8.9545441998279,-148.37300508229,-3.60067108805039,9.17382962226456,-155.314462527487
"Model 15","1","Set C",-10.5796858801624,9.92287708172295,-147.107392372182,-10.7850503653027,-8.78967289875519,-148.379354201188,-3.51976804983961,9.1532763561327,-155.015818762659
"Model 15","1","Set D",-10.5234151124038,9.90954728645438,-146.804976014121,-10.8187562918214,-9.19885349443647,-148.517352890501,-3.44597177121179,8.9803341706593,-155.468823685389
"Model 15","1","Set E",-10.6787227780333,10.1331694227364,-146.932181928528,-10.6922156777824,-9.12095828815361,-148.454512352214,-3.37137621687223,8.92052870930548,-155.115388286376
"Model 15","1","Set average",-10.6599565954882,10.0702721559407,-147.024043127951,-10.655825703771,-8.80809318186729,-148.299831966215,-3.59595276546561,9.14224787120961,-155.187508288895
"Model 15","2","Set A",-10.7072332969211,10.385874157024,-146.521941524214,-11.2120928875951,-9.43919478634487,-148.914128759141,-4.51966822877257,9.95474521905984,-156.152582858281
"Model 16","1","Set A",-17.862058491129,6.12881946861948,-135.037457013362,-12.3907877986158,-14.6161374301497,-132.961944116927,-13.1687641744176,4.65952570369563,-137.369881962916
"Model 16","1","Set B",-17.9825089167683,6.23271202748625,-135.06562554609,-12.9694654498411,-14.8197551001218,-133.12855236733,-12.9662449131203,4.72510106036358,-137.638479127884
"Model 16","1","Set C",-17.5613397500326,5.72524816491167,-135.187790437166,-13.1750363764155,-15.0903970037174,-133.283592175086,-12.6739741575905,5.07050245628197,-138.302089806139
"Model 16","1","Set D",-17.8356029025359,6.12898500262672,-134.972459252362,-12.8376277372998,-14.7157395257748,-133.053707418368,-12.891596420671,4.5974104074288,-137.508645446793
"Model 16","1","Set E",-17.813639289455,5.99907752495663,-135.216985862892,-13.2346035176162,-15.0030025684956,-133.268136094342,-13.0470674135599,4.49015389834913,-137.218583444102
"Model 16","1","Set average",-17.8110298699841,6.04296843772015,-135.096063622374,-12.9215041759577,-14.8490063256519,-133.139186434411,-12.9495294158719,4.70853870522382,-137.607535957567
"Model 16","2","Set A",-17.9615116535399,6.33028925250211,-134.883072813384,-12.4661058932352,-15.1608900793023,-133.490511080551,-11.2303684604706,4.949768624041,-139.477969404803
"Model 17","1","Set A",12.974315852811,8.16835445372399,-118.385849740159,4.77338709064893,-7.83909293038494,-120.480774742208,7.00868821915871,9.56022848920686,-125.376852046952
"Model 17","1","Set B",12.7618218972738,8.01113338230965,-118.972405393963,4.87070480935654,-7.69575787296671,-120.347793657399,6.9071707857188,9.65731161302323,-125.984601510397
"Model 17","1","Set C",12.6136076758791,7.81892336041178,-118.412770762268,5.06452005266339,-7.94326483405957,-120.456359659958,6.69943541242393,9.44881783786573,-125.643740277182
"Model 17","1","Set D",12.863192994145,8.03516053473945,-118.364553547843,4.74319925582064,-7.66120153222022,-120.349716265441,7.72245727507394,9.69268063761613,-125.434184790785
"Model 17","1","Set E",13.2151534788391,8.35986454797333,-118.650850156685,4.37631939014699,-8.26563339592415,-121.038714295367,6.94487526375895,9.65919641949758,-125.915163504125
"Model 17","1","Set average",12.8856183797896,8.07868725583164,-118.557285920184,4.7656261197273,-7.88099011311112,-120.534671724075,7.05652539122687,9.60364699944191,-125.670908425888
"Model 17","2","Set A",12.620555778817,7.9706815159885,-119.535766485258,4.65732188743063,-8.6716167361488,-121.348603921843,6.96511362864955,9.70672204092302,-126.020352168501
"Model 18","1","Set A",-9.68696592117762,8.74247852403249,-150.477050173321,-12.8786998453677,-13.0852970335685,-147.925141155008,-7.78206857480373,6.18320518480146,-150.980214574289
"Model 18","1","Set B",-9.72859989914794,8.77420600009127,-150.113786274128,-13.36580209943,-13.2344325906077,-148.233314346386,-7.65550445073718,6.58985292807785,-151.294388092736
"Model 18","1","Set C",-9.64946908297528,8.35881005805585,-150.402185885315,-12.3865170791641,-12.7546128868323,-147.641717980209,-8.1348373053836,6.4006882327212,-151.079597556756
"Model 18","1","Set D",-9.54246169662828,8.30715109461039,-150.767982732932,-12.4411019025736,-13.0282520464194,-147.780856997627,-6.76758690569745,6.02609321609246,-152.07498787427
"Model 18","1","Set E",-9.67305333697671,8.43849387879044,-150.174097235026,-12.4027356914251,-12.7125602402245,-147.588375224469,-6.81127895146017,6.03032066977387,-151.993553960889
"Model 18","1","Set average",-9.65610998738117,8.52422791111609,-150.387020460144,-12.6949713235921,-12.9630309595305,-147.83388114074,-7.43025523761643,6.24603204629337,-151.484548411788
"Model 18","2","Set A",-9.87112241181242,9.02863057724762,-149.517532057552,-10.7891934502698,-12.3623321992907,-147.267857018283,-4.52741972909278,5.33564997627966,-154.338822767344
"Model 19","1","Set A",-14.2860541338016,6.65147151042493,-133.973436954813,-10.2832536995022,-12.6483687196828,-133.398995243356,-9.01643379735157,4.59416175576777,-137.372402063881
"Model 19","1","Set B",-14.125086538999,6.31951991915405,-133.997053254841,-10.4644245045609,-12.6987938138662,-133.364452070006,-9.78290251472352,5.51187819491101,-137.688595147085
"Model 19","1","Set C",-13.7661410504587,6.05133478059437,-133.012246416974,-9.46894004320132,-12.2660941478077,-133.303885180488,-9.5166131182241,4.87482530094478,-137.10403599704
"Model 19","1","Set D",-13.9617188035511,6.53248104065298,-133.222771486685,-10.8461058073028,-13.1804907278992,-133.814124240685,-9.84514874401109,5.50619039307696,-137.591227238493
"Model 19","1","Set E",-14.2746366833927,6.6787522110234,-133.890699256522,-9.64605749305704,-12.3157993608699,-133.248991191092,-9.58874162415802,5.14825887136503,-137.414423675264
"Model 19","1","Set average",-14.0827274420406,6.44671189236994,-133.619241473967,-10.1417563095249,-12.6219093540252,-133.426089585126,-9.54996795969366,5.12706290321311,-137.434136824353
"Model 19","2","Set A",-14.3273385762598,6.60201249918034,-134.256738081771,-9.11526344502868,-12.0127160231989,-133.22266870011,-7.83577548687846,4.9776742704889,-139.915613318422
"Model 20","1","Set A",12.8790221063446,5.42463842629807,-124.912242106958,8.29077007624322,-12.7719653288773,-124.933748291365,7.29997701999291,5.69485062411629,-130.90224576768
"Model 20","1","Set B",12.7367859417056,5.35847463238814,-124.891582279238,8.15491112897247,-12.5762308337634,-124.875114572743,7.45629903496137,5.76562487596034,-130.871113389344
"Model 20","1","Set C",12.408959738902,5.1445944778802,-124.566412846698,8.4391322652546,-12.7307296933416,-124.880728644271,6.94007478358783,5.4336623967375,-130.647691180034
"Model 20","1","Set D",12.4786968022978,5.21553862646841,-124.231297860924,8.68622771417289,-13.2517911968845,-125.307959963797,7.54323631929377,5.70560575789117,-130.491610613512
"Model 20","1","Set E",12.7656653251815,5.39758083528127,-124.476086837966,8.69955621622178,-13.2248057716538,-125.241602379771,6.92338458870721,5.56608175243672,-131.057973210275
"Model 20","1","Set average",12.6538259828863,5.30816539966322,-124.615524386357,8.45411948017299,-12.9111045649041,-125.04783077039,7.23259434930862,5.6331650814284,-130.794126832169
"Model 20","2","Set A",8.95045527485137,-8.6402428117293,-121.952051680527,9.06516508143271,-12.7902324755552,-125.01617008651,6.93663060271409,5.33457224860971,-130.313183056184
